,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,ourNumSigMoreEdges,DiffEdges,dfgNumEdges80,dfgNumEdges100,sdE1,sdE2,sdE3,sdE4,sda
75,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.02,0.8,0.17,0.01,7,1,6,3,7,5.0,11.0,0.005773502691896258,0.45610671265980435,0.09814954576223639,0.5179768334587947,0.2695
76,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.0,0.98,0.01,0.01,7,0,7,4,7,4.0,10.0,0.005773502691896258,0.560029761113937,0.09539392014169458,0.5179768334587947,0.2948
77,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.18,0.04,0.0,0.78,5,0,5,3,5,6.0,10.0,0.09814954576223638,0.017320508075688773,0.09814954576223639,0.10785793124908954,0.0804
78,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.2,0.02,0.17,0.61,5,1,4,2,5,6.0,11.0,0.10969655114602891,0.005773502691896258,0.09814954576223639,0.18520259177452134,0.0997
79,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.19,0.02,0.42,0.37,5,1,4,3,5,6.0,11.0,0.10392304845413264,0.005773502691896258,0.21126602503321099,0.3148015247739439,0.1589
80,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.18,0.01,0.62,0.19,8,1,7,4,8,6.0,11.0,0.09814954576223638,0.0,0.32036437588054845,0.4158124577258358,0.2086
81,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.18,0.03,0.78,0.01,8,1,7,4,8,6.0,11.0,0.09814954576223638,0.011547005383792514,0.41016256939576207,0.5179768334587947,0.2595
82,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.21,0.21,0.01,0.57,7,0,7,4,7,6.0,11.0,0.11547005383792515,0.11547005383792515,0.09539392014169458,0.20599352740640503,0.1331
83,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.22,0.21,0.17,0.4,7,1,6,3,7,7.0,11.0,0.12124355652982141,0.11547005383792515,0.09814954576223639,0.29816103031751146,0.1583
84,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.21,0.2,0.38,0.21,9,1,8,5,9,7.0,11.0,0.11547005383792515,0.10969655114602891,0.1903505538035898,0.4045161719058131,0.205
85,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.2,0.18,0.58,0.04,9,1,8,5,9,7.0,11.0,0.10969655114602891,0.09814954576223638,0.29816103031751146,0.5008991914547277,0.2517
86,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.2,0.41,0.01,0.38,8,0,8,4,8,6.0,11.0,0.10969655114602891,0.23094010767585027,0.09539392014169458,0.3092463958291726,0.1863
87,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.19,0.38,0.23,0.2,10,1,9,5,10,7.0,11.0,0.10392304845413264,0.21361959960016155,0.11930353445448855,0.41016256939576207,0.2118
88,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.22,0.4,0.38,0.0,10,2,8,5,10,6.0,10.0,0.12124355652982141,0.22516660498395408,0.1903505538035898,0.5236729259120938,0.2651
89,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.22,0.57,0.01,0.2,9,0,9,5,9,6.0,11.0,0.12124355652982141,0.3233161507461904,0.09539392014169458,0.41016256939576207,0.2375
90,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.17,0.6,0.22,0.01,10,1,9,5,10,6.0,11.0,0.09237604307034013,0.34063665882187916,0.11532562594670796,0.5179768334587947,0.2666
91,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.19,0.8,0.01,0.0,9,1,8,5,9,5.0,10.0,0.10392304845413264,0.45610671265980435,0.09539392014169458,0.5236729259120938,0.2948
92,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.4,0.01,0.02,0.57,6,0,6,3,6,5.0,11.0,0.22516660498395408,0.0,0.0929157324317757,0.20599352740640503,0.131
93,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.42,0.02,0.18,0.38,6,1,5,2,6,6.0,11.0,0.23671361036774655,0.005773502691896258,0.10115993936995679,0.3092463958291726,0.1632
94,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.41,0.02,0.39,0.18,8,1,7,4,8,6.0,11.0,0.23094010767585027,0.005773502691896258,0.19553345834749955,0.42146569650842686,0.2134
95,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.4,0.02,0.57,0.01,8,1,7,4,8,5.0,11.0,0.22516660498395408,0.005773502691896258,0.29263173671584786,0.5179768334587947,0.2604
96,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.41,0.18,0.0,0.41,8,0,8,4,8,6.0,10.0,0.23094010767585027,0.09814954576223638,0.09814954576223639,0.2926317367158479,0.18
97,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.42,0.18,0.2,0.2,10,1,9,5,10,7.0,11.0,0.23671361036774655,0.09814954576223638,0.10785793124908959,0.41016256939576207,0.2132
98,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.41,0.18,0.41,0.0,10,2,8,5,10,6.0,10.0,0.23094010767585027,0.09814954576223638,0.20599352740640497,0.5236729259120938,0.2647
99,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.42,0.39,0.01,0.18,10,0,10,5,10,6.0,11.0,0.23671361036774655,0.2193931022920578,0.09539392014169458,0.42146569650842686,0.2432
100,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.39,0.4,0.19,0.02,10,1,9,4,10,6.0,11.0,0.2193931022920578,0.22516660498395408,0.1044030650891055,0.5122824741617981,0.2653
101,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.37,0.61,0.0,0.02,10,0,10,5,10,5.0,10.0,0.20784609690826528,0.34641016151377546,0.09814954576223639,0.5122824741617981,0.2912
102,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.58,0.0,0.01,0.41,6,0,6,3,6,5.0,10.0,0.32908965343808666,0.005773502691896258,0.09539392014169458,0.2926317367158479,0.1807
103,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.6,0.01,0.22,0.17,8,1,7,4,8,6.0,11.0,0.34063665882187916,0.0,0.11532562594670796,0.4271221527073178,0.2208
104,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.59,0.01,0.39,0.01,8,1,7,4,8,5.0,11.0,0.3348631561299829,0.0,0.19553345834749955,0.5179768334587947,0.2621
105,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.6,0.19,0.02,0.19,9,0,9,5,9,6.0,11.0,0.34063665882187916,0.10392304845413264,0.0929157324317757,0.4158124577258358,0.2383
106,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.61,0.2,0.18,0.01,9,1,8,4,9,6.0,11.0,0.34641016151377546,0.10969655114602891,0.10115993936995679,0.5179768334587947,0.2688
107,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.6,0.38,0.02,0.0,10,1,9,5,10,5.0,10.0,0.34063665882187916,0.21361959960016155,0.0929157324317757,0.5236729259120938,0.2927
108,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,0.78,0.01,0.0,0.21,7,0,7,4,7,5.0,10.0,0.4445597072760119,0.0,0.09814954576223639,0.4045161719058131,0.2368
